CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,lat,lon
10,SJV,7389,SJU,1060 FULTON MALL LLC,1058-1060 FULTON MALL,FRESNO,93721,5311,FRE,SAN JOAQUIN VALLEY APCD,,,.000429140580535002845759817871371656232214,.000377,.00561,.011603377,.0000214,.000582991803278688524590163934426229508197,.000569,36.73493,-119.7907
10,SJV,3170,SJU,21ST DIST. AGRICULTURAL ASSOC.,1121 S CHANCE AVE,FRESNO,93702,7999,FRE,SAN JOAQUIN VALLEY APCD,,,.006284,.006284,0,0,0,0,0,36.73092,-119.75055
10,SJV,7421,SJU,5TH APPELLATE COURT OF CALIFORNIA,2424 VENTURA ST,FRESNO,93721,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.004519066590779738190096755833807626636312,.00397,.0344,.059542423,.0000675,.002038934426229508196721311475409836065574,.00199,36.73309,-119.7806
10,SJV,2,SJU,"A&R CUNHA FARMS, INC.",5069 W CLAYTON,FRESNO,93706,723,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.1822857142857142857142857142857142857143,.1276,36.63919,-119.88518
10,SJV,7627,SJU,A-PLUS SIGNS INC,4379 N BRAWLEY AVE,FRESNO,93722,3993,FRE,SAN JOAQUIN VALLEY APCD,,,.042561983471074380165289256198347107438,.0412,0,0,0,0,0,36.79965,-119.86335
10,SJV,7651,SJU,ABBY PET HOSPITAL,4508 E ASHLAN AVE,FRESNO,93726,742,FRE,SAN JOAQUIN VALLEY APCD,,,.001953813104189044038668098818474758324383,.0001819,.0225,.01371,.00001638,.000116197183098591549295774647887323943662,.0001155,36.79376,-119.74942
10,SJV,728,SJU,ACADEMY OF THE SIERRAS,42675 ROAD 44,REEDLEY,93654,8361,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.56602,-119.47654
10,SJV,2015,SJU,"ACTAGRO, LLC.",4516 N HOWARD ST,BIOLA,,2875,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.1362555555555555555555555555555555555556,.11859,36.799431,-120.023144
10,SJV,8211,SJU,ADVANCED DIAGNOSTIC TESTING CENTER,205 EAST RIVER PARK CIRCLE #160,FRESNO,93720,8011,FRE,SAN JOAQUIN VALLEY APCD,,,.000845759817871371656232214001138303927149,.000743,.00711,.01386,.00002707,.000814754098360655737704918032786885245902,.0007952,36.8545151237794,-119.786440440826
10,SJV,2187,SJU,ADVENTIST MEDICAL CENTER - REEDLEY,372 W CYPRESS AVE,REEDLEY,93654,8062,FRE,SAN JOAQUIN VALLEY APCD,,,.000533864541832669322709163346613545816734,.000469,.006462,.01868,.00001526,.000708709016393442622950819672131147540983,.0006917,36.60822,-119.45202
10,SJV,1121,SJU,AERA ENERGY LLC,HEAVY OIL PRODUCTION,FRESNO COUNTY,,1311,FRE,SAN JOAQUIN VALLEY APCD,N,,7.3869561590909090909090909090909090909,3.25026071,2.134710376,32.346441407,5.697506417,17.37588921349666419570051890289103039288,17.355169989,36.7584114074707,-119.650382995605
10,SJV,3849,SJU,AGAPE/ELLIS LLC,4880 N FIRST ST,FRESNO,93726,4833,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.80626,-119.77147
10,SJV,2230,SJU,AGUILAR'S AUTO SALES,130 W MERCED ST,FOWLER,93625,5599,FRE,SAN JOAQUIN VALLEY APCD,,,.11165,.09835,0,0,0,.0116885416666666666666666666666666666667,.011221,36.62849,-119.68214
10,SJV,2954,SJU,AIRWAYS PUBLIC GOLF COURSE,5440 E SHIELDS AVE,FRESNO,93727,7992,FRE,SAN JOAQUIN VALLEY APCD,,,.0005908,.0005908,0,0,0,0,0,36.779340636047,-119.707055310362
10,SJV,4071,SJU,ALGONQUIN POWER SANGER LLC,1125 MUSCAT AVE,SANGER,93657,4911,FRE,SAN JOAQUIN VALLEY APCD,,,7.43436811267574949688600349116180527378,.692809462,8.351941941,5.231485713,.316828218,7.51472332636529559872898593748282041979,7.46809389,36.68413,-119.55227
10,SJV,445,SJU,ALGONQUIN POWER SANGER LLC/DYNA FIBERS,1125 MUSCAT AVE,SANGER,93657,2499,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.6135583881578947368421052631578947368421,.3730435,36.68413,-119.55227
10,SJV,1546,SJU,ALLIED WASTE SERVS OF NORTH AMERICA LLC,5501 N GOLDEN STATE BLVD,FRESNO,93722,4953,FRE,SAN JOAQUIN VALLEY APCD,,,.4117799661160525201185938161795849216433,.388885,0,0,0,.237470569117647058823529411764705882353,.161479987,36.81472,-119.88828
10,SJV,3756,SJU,ALORICA INC,"170 W SHAW AVE, SUITE B",CLOVIS,0,4813,FRE,SAN JOAQUIN VALLEY APCD,,,.004701195219123505976095617529880478087649,.00413,.000678,.029,.0000315,.000633196721311475409836065573770491803279,.000618,36.8074,-119.71198
10,SJV,8511,SJU,ALORICA INC,5104 N BLYTHE AVE,FRESNO,93722,8741,FRE,SAN JOAQUIN VALLEY APCD,,,.000652931132612407512805919180421172453045,.0005736,.001296,.01078,.00001272,.000255737704918032786885245901639344262295,.0002496,36.81047,-119.8699
10,SJV,26,SJU,ALTA OIL COMPANY,545 E DINUBA,REEDLEY,93654,5171,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.58917,-119.44323
10,SJV,27,SJU,ALTA VISTA GIN/MURRIETA FARM,5854 S SAN DIEGO,MENDOTA,93640,724,FRE,SAN JOAQUIN VALLEY APCD,,,.004601398601398601398601398601398601398601,.00329,.01316,.0658,.005264,14.14086021505376344086021505376344086022,4.60285,36.64996,-120.44016
10,SJV,3115,SJU,AMERICAN AVENUE LANDFILL,18950 W AMERICAN AVE,KERMAN,,4953,FRE,SAN JOAQUIN VALLEY APCD,,,1.24901659154370893180783878514000111777,.625162391,.135073495,9.74068181,1.600012886,52.17158442794767471694080765834941959839,23.18338256,36.6618093117276,-120.132507143194
10,SJV,1547,SJU,AMERICAN MEDICAL SERVICES,4555 E HAMILTON,FRESNO,93771,8011,FRE,SAN JOAQUIN VALLEY APCD,,,.000591918042117245304496300512236767216847,.00052,.003474,.0001326,.0000106,.000362397540983606557377049180327868852459,.0003537,36.7250358171024,-119.747325495705
10,SJV,8232,SJU,AMERICAN METALS,2655 NORTH WEBER,FRESNO,93705,3449,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.001278745644599303135888501742160278745645,.000734,36.77449,-119.83778
10,SJV,30,SJU,AMERICAN RAISIN PACKERS,2335 CHANDLER ST,SELMA,93662,723,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,2.42682004482758620689655172413793103448,.703777813,36.57286,-119.61807
10,SJV,8607,SJU,AMERICAN TOWER CORPORATION,8355 MCMULLIN GRADE,FRESNO,93706,4813,FRE,SAN JOAQUIN VALLEY APCD,,,.000535002845759817871371656232214001138304,.00047,.00235,.00893,.0000171,.000412909836065573770491803278688524590164,.000403,36.61126,-120.03942
10,SJV,8715,SJU,AMERICAN TOWER CORPORATION,12949 E. MANNING AVE.,PARLIER,93648,4812,FRE,SAN JOAQUIN VALLEY APCD,,,.000281286283437677859988616960728514513375,.00024711,.0017298,.006682,.000012663,.000303821721311475409836065573770491803279,.00029653,36.6048900609879,-119.5562830687
10,SJV,8716,SJU,AMERICAN TOWER CORPORATION,7801 SOUTH EAST AVE.,FRESNO,93725,4812,FRE,SAN JOAQUIN VALLEY APCD,,,.000775184974388161639157655093910073989755,.000681,.00477,.0184,.0000347,.000837090163934426229508196721311475409836,.000817,36.62239,-119.77532
10,SJV,8717,SJU,AMERICAN TOWER CORPORATION,3293 W. KAMM AVE.,CARUTHERS,93609,4812,FRE,SAN JOAQUIN VALLEY APCD,,,.000367899829254410927717700626067159931702,.0003232,.0022595,.008714,.000016425,.000396618852459016393442622950819672131147,.0003871,36.53071,-119.84823
10,SJV,8718,SJU,AMERICAN TOWER CORPORATION,51959 W. SHIELDS AVE.,MENDOTA,93640,4812,FRE,SAN JOAQUIN VALLEY APCD,,,.000391576550939100739897552646556630620375,.000344,.002409,.009289,.00001758,.000423565573770491803278688524590163934427,.0004134,36.773679,-120.725724
10,SJV,2108,SJU,AMERIPRIDE UNIFORM SERVICES,1050 W WHITESBRIDGE AVE,FRESNO,93706,7218,FRE,SAN JOAQUIN VALLEY APCD,,,.0961363636363636363636363636363636363635,.0423,.780400461,.580586174,.02203,.0585,.0585,36.73677,-119.82398
10,SJV,7441,SJU,"AMWARE PALLET SERVICES, LLC",3210 S EAST AVE,FRESNO,93725,2448,FRE,SAN JOAQUIN VALLEY APCD,,,.2006565014824227022448115205421431596781,.1895,0,0,0,.1013235294117647058823529411764705882353,.0689,36.687512,-119.771193
10,SJV,15,SJU,ANDERSON CLAYTON CORP - AIRWAY GIN,13045 W GALE AVE,HURON,93234,724,FRE,SAN JOAQUIN VALLEY APCD,,,.014965034965034965034965034965034965035,.0107,.0388,.193917295,.00136,19.19894009216589861751152073732718894009,6.249255,36.1814782690302,-120.031316728723
10,SJV,1385,SJU,ANDERSON CLAYTON CORP/SILVER C,43939 NORTH AVE,FIREBAUGH,93622,724,FRE,SAN JOAQUIN VALLEY APCD,,,.0281818181818181818181818181818181818182,.0124,.0413,.206500006,.0062,32.59460829493087557603686635944700460829,10.609545,36.68965,-120.58513
